X_target,Y_target,Hora_target,X_click_sujeto,Y_click_sujeto,Hora_click_sujeto,Diferencia_X,Diferencia_Y, Dif_Tiempo, N_correctos,Posición Target, Fecha_prueba: Thu Sep 15 16:42:47 CDT 2022,Sujeto: gustavo 2,N_ensayos: 10,Umbral Clicks correctos: 5,Lim. Tiempo (seg): 3,Distancia Limite_X: 80,Distancia Limite_Y: 80
1280,720,16:42:47:505,224,186,16:42:48:19,1056,534,0:0:0:486,_,centro
818,1071,16:42:48:19,124,169,16:42:48:379,694,902,0:0:0:360,_,aleatoria
1280,720,16:42:48:379,679,718,16:42:53:36,601,2,0:0:4:343,_,centro
525,358,16:42:53:36,687,668,16:42:53:261,-162,-310,0:0:0:225,_,aleatoria
1280,720,16:42:53:261,448,765,16:42:53:532,832,-45,0:0:0:271,_,centro
458,871,16:42:53:532,489,697,16:42:57:593,-31,174,0:0:4:61,_,aleatoria
1280,720,16:42:57:593,867,668,16:42:57:784,413,52,0:0:0:191,_,centro
416,130,16:42:57:784,2115,479,16:42:58:20,-1699,-349,0:0:0:764,_,aleatoria
1280,720,16:42:58:20,2147,568,16:42:58:245,-867,152,0:0:0:225,_,centro
2249,765,16:42:58:245,2145,766,16:42:58:438,104,-1,0:0:0:193,_,aleatoria
1280,720,16:42:58:438,840,810,16:42:58:786,440,-90,0:0:0:348,_,centro
1705,422,16:42:58:786,530,481,16:42:59:55,1175,-59,0:0:0:731,_,aleatoria
1280,720,16:42:59:55,351,436,16:42:59:236,929,284,0:0:0:181,_,centro
2363,444,16:42:59:236,348,521,16:42:59:629,2015,-77,0:0:0:393,_,aleatoria
1280,720,16:42:59:629,499,562,16:42:59:821,781,158,0:0:0:192,_,centro
1021,20,16:42:59:821,1206,398,16:43:0:46,-185,-378,0:0:0:775,_,aleatoria
